,delay,eval time means for 10 iterations (s),eval time std for 10 iterations (s),verify time means for 10 iterations (s),verify time std for 10 iterations (s),input
0,2,0.00019850730895996094,2.2538424546894754e-05,0.00010824203491210938,4.229225718585123e-05,0
1,4,0.00025625228881835936,5.275116052558567e-05,0.00011675357818603515,1.2991345508711209e-05,0
2,8,0.00026915073394775393,6.434715304804315e-05,0.00013575553894042968,3.6888284736565214e-05,0
3,16,0.00029277801513671875,3.011612457591771e-05,0.0001476764678955078,2.083195741401407e-05,0
4,32,0.00033435821533203127,2.9265269559915847e-05,0.0001627206802368164,2.114553122356661e-05,0
5,64,0.0004349946975708008,8.785114464116269e-05,0.0002262592315673828,6.044881453505844e-05,0
6,128,0.0004892349243164062,8.186321790811858e-05,0.00022706985473632812,8.131244192306556e-05,0
7,256,0.000633406639099121,0.0002158160403855472,0.0002424478530883789,0.00010019018636607069,0
8,512,0.000954294204711914,0.0003302221204084126,0.00028967857360839844,0.00011841162735550236,0
9,1024,0.0012580156326293945,0.0001852027395777099,0.00025081634521484375,3.1169170468357006e-05,0
