,delay,eval time means for 10 iterations (s),eval time std for 10 iterations (s),verify time means for 10 iterations (s),verify time std for 10 iterations (s),input
0,2,0.00020520687103271485,4.122260373581773e-05,6.537437438964843e-05,1.3237325491480996e-05,0
1,4,0.00023925304412841797,4.0826817720202205e-05,0.00010387897491455078,3.067550468069529e-05,0
2,8,0.0002107858657836914,5.4148779156590664e-05,7.321834564208985e-05,2.3399447144752093e-05,0
3,16,0.00021147727966308594,3.408616801055903e-05,7.729530334472656e-05,2.4178512297742678e-05,0
4,32,0.00023148059844970703,6.249523049732448e-05,8.330345153808593e-05,2.8703282172460087e-05,0
5,64,0.00021867752075195314,2.4953161800203183e-05,6.847381591796875e-05,1.3772350795304183e-05,0
6,128,0.0002760171890258789,3.284182632971388e-05,7.576942443847657e-05,1.707013387695563e-05,0
7,256,0.00033550262451171876,5.39705333526989e-05,7.312297821044922e-05,1.509568090120791e-05,0
8,512,0.00041954517364501954,7.508776884212574e-05,6.856918334960938e-05,1.3565996200196728e-05,0
9,1024,0.0007609844207763672,0.00013535116039239216,8.919239044189454e-05,2.864165919773768e-05,0
