,delay,eval time (s),verify time (s),input
0,2,0.0002346038818359375,7.43865966796875e-05,49834081952797182703816065733711149781
1,2,0.00022649765014648438,6.842613220214844e-05,50442234362841470206157660474556038805
2,2,0.000152587890625,5.245208740234375e-05,44484946316554770767932389748201831386
3,2,0.0002675056457519531,9.632110595703125e-05,43035925643933906285243752806454327395
4,2,0.00017261505126953125,5.841255187988281e-05,67740500960805688290263420077227968466
5,2,0.00015854835510253906,5.936622619628906e-05,1929351496284665583119038757423773809
6,2,0.00024509429931640625,7.200241088867188e-05,38750081331348039350802540830447072359
7,2,0.0001628398895263672,5.435943603515625e-05,103839344149880969613167952152546416903
8,2,0.00020051002502441406,5.507469177246094e-05,212423465895638862404553517084646531323
9,2,0.00023126602172851562,6.29425048828125e-05,137223352770642377473333508883764099433
10,4,0.00017571449279785156,5.817413330078125e-05,189380819693320851832506264701104960767
11,4,0.0002627372741699219,7.963180541992188e-05,116145165419011145277048143392419589681
12,4,0.0002970695495605469,0.00015544891357421875,42577470579066499447653284796625431270
13,4,0.00021982192993164062,0.00011157989501953125,202202416879981548666012655198600501300
14,4,0.00023651123046875,0.00013065338134765625,197000593694139113468996707432258763677
15,4,0.00028324127197265625,0.0001220703125,141438972946863250989543647044334150397
16,4,0.00025653839111328125,9.202957153320312e-05,20880394996216503751025724551387293726
17,4,0.00021457672119140625,0.00012135505676269531,5366473304267864312424546538301242039
18,4,0.0002639293670654297,0.00010371208190917969,156813488846474725157154474396376904011
19,4,0.0001823902130126953,6.413459777832031e-05,95968625125085208316498864234006059089
20,8,0.00017523765563964844,5.2928924560546875e-05,78362932058764719003119207082302145104
21,8,0.0003192424774169922,8.535385131835938e-05,43002370843626163047007837326783178515
22,8,0.0002009868621826172,5.53131103515625e-05,166197639661193969073985650369182966967
23,8,0.00019216537475585938,6.818771362304688e-05,109069174844342219711053194827849899047
24,8,0.0003006458282470703,0.00013184547424316406,82449613762267730665276629862750139144
25,8,0.00018262863159179688,6.270408630371094e-05,179175565056238965469515311518567056081
26,8,0.00018286705017089844,8.368492126464844e-05,190987854743930204899850211026038815976
27,8,0.000209808349609375,7.05718994140625e-05,116849129139358429670796311846546108809
28,8,0.00018405914306640625,5.5789947509765625e-05,201740681013257166131273500306221109488
29,8,0.00016021728515625,6.580352783203125e-05,92907017861128803260543312378137927215
30,16,0.000263214111328125,0.0001316070556640625,40704782260945684343906693719837262937
31,16,0.00023317337036132812,7.367134094238281e-05,26499052541164697365263558591960158422
32,16,0.00019693374633789062,5.888938903808594e-05,89156265430573156314523610463457952819
33,16,0.00024175643920898438,7.748603820800781e-05,20099802132472793217036931864186897136
34,16,0.00017571449279785156,5.698204040527344e-05,120223596910631151696157738266903421880
35,16,0.0002536773681640625,0.00010776519775390625,222814734159739328117860945504547784602
36,16,0.0002110004425048828,7.414817810058594e-05,56919658872413386925960712997411598092
37,16,0.00017571449279785156,7.081031799316406e-05,155215240558428229682286851534538986512
38,16,0.00017547607421875,5.745887756347656e-05,196259037870246784736971950109580480970
39,16,0.0001881122589111328,6.413459777832031e-05,26887897273533064203730340579759437192
40,32,0.00018405914306640625,6.008148193359375e-05,51391372766213489228964195865874062996
41,32,0.0003314018249511719,0.0001270771026611328,80061276084735181169386778014042085669
42,32,0.00020766258239746094,7.271766662597656e-05,128211533350116396087729441691246986142
43,32,0.00017547607421875,5.91278076171875e-05,94219729777264017401160812618498728845
44,32,0.0002779960632324219,9.202957153320312e-05,124113311416462331467193057247869415376
45,32,0.00018858909606933594,6.151199340820312e-05,125380802833080700281854594537252766409
46,32,0.00016999244689941406,6.008148193359375e-05,77722233157149079153230374445908413068
47,32,0.0003371238708496094,0.00013947486877441406,21048997770359236296520276237186214444
48,32,0.00021576881408691406,7.963180541992188e-05,72022692264600041836052055818254137210
49,32,0.00022673606872558594,8.130073547363281e-05,74356755298544357322114877731511705730
50,64,0.00019860267639160156,5.793571472167969e-05,9761391441046067768275473434456030178
51,64,0.0002002716064453125,5.91278076171875e-05,79055874524065391034091583626193309780
52,64,0.00021338462829589844,7.700920104980469e-05,57709693334896495338184444843258909031
53,64,0.0002810955047607422,0.00010442733764648438,132511674159339684310470838154160208276
54,64,0.00022864341735839844,6.67572021484375e-05,57234568791890684092153870326230236801
55,64,0.0002243518829345703,6.532669067382812e-05,165129288314669545267580105244589611425
56,64,0.0002002716064453125,6.580352783203125e-05,42578985925481844383207063113649979458
57,64,0.00020003318786621094,6.532669067382812e-05,86583857319437000288684110804975880135
58,64,0.0002124309539794922,5.8650970458984375e-05,22836930436972862136274623074684742583
59,64,0.0002276897430419922,6.437301635742188e-05,47070734891081198701998263744249394238
60,128,0.0003139972686767578,6.67572021484375e-05,178302585072085341814231478465724302006
61,128,0.0002384185791015625,6.341934204101562e-05,63931348013515842601776409057470624469
62,128,0.0002357959747314453,6.961822509765625e-05,22132828442533923206853946013528168017
63,128,0.0003361701965332031,0.00010943412780761719,117030636783384323319881597204761287296
64,128,0.0002951622009277344,8.368492126464844e-05,74019460376800402596717662827971581388
65,128,0.0002646446228027344,0.00010204315185546875,129903440796302315354461459806071572773
66,128,0.00025844573974609375,6.175041198730469e-05,79187089559992124009212381017781118298
67,128,0.00028967857360839844,6.747245788574219e-05,133131456970124899886285025643319149901
68,128,0.0002510547637939453,6.246566772460938e-05,76782042683411484989728000615112726628
69,128,0.00027680397033691406,7.104873657226562e-05,129551165518640587604601252429896549009
70,256,0.0003426074981689453,0.0001125335693359375,167274201112040167614877640120487438536
71,256,0.0003211498260498047,6.461143493652344e-05,256140158169957243671725943911159412916
72,256,0.00031495094299316406,7.271766662597656e-05,85536442059070982028225066428451469914
73,256,0.00044918060302734375,7.486343383789062e-05,70270419545501779040718057899503930067
74,256,0.0003764629364013672,7.605552673339844e-05,126898533555728956719375805219346351385
75,256,0.00035762786865234375,5.8650970458984375e-05,163129977038292321436798811841831204532
76,256,0.00026106834411621094,7.152557373046875e-05,38526627031859516153842968224102082007
77,256,0.00027823448181152344,6.127357482910156e-05,167779476435053875873845613406020587869
78,256,0.0003540515899658203,7.367134094238281e-05,259311236103009046096756682465434614799
79,256,0.00029969215393066406,6.532669067382812e-05,144769142336699494849525459200664508977
80,512,0.00043964385986328125,6.270408630371094e-05,146072367625558825641608293920631601717
81,512,0.0005128383636474609,9.298324584960938e-05,22078112489607876744541538649857341849
82,512,0.0005471706390380859,8.96453857421875e-05,39440365693942230998830469863308205794
83,512,0.0003917217254638672,7.343292236328125e-05,100120579391009734174244962910693169996
84,512,0.0003161430358886719,5.6743621826171875e-05,89534184509666580265271072462565187204
85,512,0.00039649009704589844,5.8650970458984375e-05,102079838490795521618291343028766687951
86,512,0.00046443939208984375,7.271766662597656e-05,94777757110650719135115631564404431928
87,512,0.00040221214294433594,5.8650970458984375e-05,13423948403606698126436478540837161978
88,512,0.00040984153747558594,6.556510925292969e-05,140482556931800313623119793750422190379
89,512,0.00031495094299316406,5.459785461425781e-05,64513118724650938058531362793191295857
90,1024,0.0009522438049316406,0.00010466575622558594,1320103005076527793101047728327138486
91,1024,0.0007612705230712891,8.821487426757812e-05,60213595011299454234987160312385261290
92,1024,0.0006909370422363281,6.413459777832031e-05,662219914018018820685412279209154609
93,1024,0.0008237361907958984,8.130073547363281e-05,149134063118065298575889113178008459774
94,1024,0.0005190372467041016,6.246566772460938e-05,16595597833252115444028657373851299833
95,1024,0.0007669925689697266,0.00012636184692382812,27232591620182481459195363007576015449
96,1024,0.0009632110595703125,0.0001430511474609375,41158370237890041055249546598626838068
97,1024,0.0006630420684814453,6.365776062011719e-05,115432616088521790869195869483487269083
98,1024,0.000667572021484375,6.175041198730469e-05,236216422533349025898072208677304871632
99,1024,0.0008018016815185547,9.632110595703125e-05,115321282733432208813831926415565498184
